Index,LEAH
1999-07-26,719125
1999-07-27,713250
1999-07-28,713125
1999-07-29,712650
1999-07-30,712225
1999-08-02,708550
1999-08-03,716675
1999-08-04,715525
1999-08-05,733875
1999-08-06,734475
1999-08-09,744325
1999-08-10,753975
1999-08-11,753775
1999-08-12,756475
1999-08-13,759500
1999-08-16,761250
1999-08-17,761250
1999-08-18,759475
1999-08-19,760950
1999-08-20,764625
1999-08-23,767950
1999-08-24,767675
1999-08-25,771450
1999-08-26,771775
1999-08-27,771950
1999-08-31,772125
1999-09-01,775550
1999-09-02,774775
1999-09-03,774725
1999-09-06,773150
1999-09-07,773750
1999-09-08,772975
1999-09-09,772550
1999-09-10,771875
1999-09-13,773875
1999-09-14,776525
1999-09-15,769325
1999-09-16,768700
1999-09-17,765850
1999-09-20,766950
1999-09-21,766800
1999-09-22,769300
1999-09-23,771125
1999-09-24,771650
1999-09-27,771800
1999-09-28,769075
1999-09-29,769250
1999-09-30,770150
1999-10-01,767675
1999-10-04,767000
1999-10-05,764000
1999-10-06,763500
1999-10-07,762800
1999-10-08,762875
1999-10-11,762550
1999-10-12,764725
1999-10-13,764250
1999-10-14,763725
1999-10-15,762700
1999-10-18,761375
1999-10-19,763275
1999-10-20,762650
1999-10-21,763325
1999-10-22,765100
1999-10-25,764750
1999-10-26,758050
1999-10-27,757075
1999-10-28,752800
1999-10-29,750750
1999-11-01,749225
1999-11-02,753250
1999-11-03,755950
1999-11-04,754150
1999-11-05,753325
1999-11-08,753275
1999-11-09,753975
1999-11-10,757200
1999-11-11,755250
1999-11-12,755800
1999-11-15,754875
1999-11-16,755025
1999-11-17,756100
1999-11-18,756800
1999-11-19,757825
1999-11-22,758400
1999-11-23,758150
1999-11-24,760800
1999-11-25,763775
1999-11-26,767550
1999-11-29,767275
1999-11-30,766200
1999-12-01,752425
1999-12-02,752375
1999-12-03,751125
1999-12-06,747700
1999-12-07,742750
1999-12-08,745625
1999-12-09,744550
1999-12-10,744150
1999-12-13,744525
1999-12-14,744225
1999-12-15,743825
1999-12-16,738800
1999-12-17,738225
1999-12-20,737125
1999-12-21,743000
1999-12-22,742550
1999-12-23,742675
1999-12-24,739925
1999-12-29,751175
1999-12-30,751050
2000-01-04,754325
2000-01-05,753325
2000-01-06,750775
2000-01-07,749100
2000-01-10,745075
2000-01-11,743525
2000-01-12,743500
2000-01-13,742125
2000-01-14,742450
2000-01-17,741075
2000-01-18,748125
2000-01-19,752250
2000-01-20,744475
2000-01-21,744575
2000-01-24,748825
2000-01-25,758675
2000-01-26,759500
2000-01-27,761375
2000-01-28,761600
2000-01-31,763975
2000-02-01,769050
2000-02-02,770650
2000-02-03,773350
2000-02-04,778975
2000-02-07,785575
2000-02-08,800600
2000-02-09,807900
2000-02-10,815250
2000-02-11,820225
2000-02-14,821725
2000-02-15,828000
2000-02-16,834575
2000-02-17,836700
2000-02-18,838800
2000-02-21,845300
2000-02-22,845650
2000-02-23,833525
2000-02-24,825825
2000-02-25,819400
2000-02-28,782850
2000-02-29,772075
2000-03-01,770725
2000-03-02,769725
2000-03-03,746050
2000-03-06,743750
2000-03-07,744175
2000-03-08,743500
2000-03-09,737625
2000-03-10,732675
2000-03-13,724175
2000-03-14,708200
2000-03-15,705800
2000-03-16,708100
2000-03-17,697400
2000-03-20,694925
2000-03-21,685725
2000-03-22,684300
2000-03-23,682375
2000-03-24,682650
2000-03-27,679700
2000-03-28,666925
2000-03-29,665975
2000-03-30,664725
2000-03-31,661300
2000-04-03,661450
2000-04-04,660075
2000-04-05,658475
2000-04-06,652800
2000-04-07,649450
2000-04-10,647400
2000-04-11,635800
2000-04-12,633850
2000-04-13,629650
2000-04-14,629375
2000-04-17,628375
2000-04-18,631775
2000-04-19,632125
2000-04-20,626325
2000-04-25,624825
2000-04-26,623850
2000-04-27,623050
2000-04-28,621650
2000-05-02,601675
2000-05-03,591425
2000-05-04,576600
2000-05-05,575500
2000-05-08,569725
2000-05-09,572150
2000-05-10,569400
2000-05-11,568175
2000-05-12,566400
2000-05-15,565075
2000-05-16,563875
2000-05-17,555775
2000-05-18,554650
2000-05-19,553075
2000-05-22,551675
2000-05-23,551075
2000-05-24,548850
2000-05-25,548650
2000-05-26,546550
2000-05-30,535925
2000-05-31,532925
2000-06-01,518525
2000-06-02,515575
2000-06-05,514650
2000-06-06,513800
2000-06-07,513300
2000-06-08,513100
2000-06-09,511250
2000-06-12,508925
2000-06-13,506375
2000-06-14,506125
2000-06-15,506025
2000-06-16,503725
2000-06-19,485875
2000-06-20,485250
2000-06-21,479475
2000-06-22,479075
2000-06-23,478625
2000-06-26,472975
2000-06-27,488200
2000-06-28,488675
2000-06-29,488025
2000-06-30,482850
2000-07-03,476575
2000-07-04,473600
2000-07-05,472525
2000-07-06,471400
2000-07-07,470900
2000-07-10,469625
2000-07-11,468800
2000-07-12,467275
2000-07-13,463475
2000-07-14,462450
2000-07-17,459675
2000-07-18,455850
2000-07-19,450150
2000-07-20,448200
2000-07-21,444575
2000-07-24,441100
2000-07-25,434575
2000-07-26,412250
2000-07-27,411350
2000-07-28,410050
2000-07-31,408825
2000-08-01,404150
2000-08-02,403875
2000-08-03,403950
2000-08-04,402750
2000-08-07,402350
2000-08-08,402050
2000-08-09,401350
2000-08-10,397850
2000-08-11,393475
2000-08-14,393225
2000-08-15,393000
2000-08-16,391175
2000-08-17,389225
2000-08-18,388600
2000-08-21,389375
2000-08-22,386025
2000-08-23,379225
2000-08-24,379200
2000-08-25,378900
2000-08-29,376200
2000-08-30,374000
2000-08-31,373975
2000-09-01,370700
2000-09-04,368200
2000-09-05,367900
2000-09-06,366400
2000-09-07,365575
2000-09-08,361375
2000-09-11,358325
2000-09-12,357750
2000-09-13,357750
2000-09-14,356700
2000-09-15,353675
2000-09-18,350950
2000-09-19,350225
2000-09-20,349325
2000-09-21,346250
2000-09-22,345650
2000-09-25,344575
2000-09-26,344025
2000-09-27,343250
2000-09-28,340725
2000-09-29,339850
2000-10-02,338900
2000-10-03,338625
2000-10-04,334075
2000-10-05,332150
2000-10-06,329525
2000-10-09,328550
2000-10-10,327575
2000-10-11,327225
2000-10-12,327075
2000-10-13,327075
2000-10-16,327075
2000-10-17,326975
2000-10-18,326725
2000-10-19,323525
2000-10-20,322350
2000-10-23,321825
2000-10-24,321600
2000-10-25,321600
2000-10-26,320175
2000-10-27,320050
2000-10-30,319975
2000-10-31,318800
2000-11-01,318550
2000-11-02,317800
2000-11-03,317150
2000-11-06,314550
2000-11-07,313550
2000-11-08,309475
2000-11-09,307175
2000-11-10,305875
2000-11-13,309225
2000-11-14,309075
2000-11-15,307675
2000-11-16,313125
2000-11-17,312100
2000-11-20,311275
2000-11-21,308450
2000-11-22,307900
2000-11-23,306025
2000-11-24,306025
2000-11-27,306150
2000-11-28,304675
2000-11-29,303550
2000-11-30,301450
2000-12-01,297550
2000-12-04,297525
2000-12-05,296750
2000-12-06,294575
2000-12-07,292100
2000-12-08,289975
2000-12-11,289175
2000-12-12,287750
2000-12-13,287250
2000-12-14,287250
2000-12-15,286150
2000-12-18,285950
2000-12-19,285350
2000-12-20,285300
2000-12-21,292975
2000-12-22,292600
2000-12-27,292100
2000-12-28,291950
2000-12-29,306575
2001-01-02,307650
2001-01-03,313925
2001-01-04,314275
2001-01-05,315250
2001-01-08,315875
2001-01-09,315675
2001-01-10,318550
2001-01-11,319425
2001-01-12,320800
2001-01-15,320175
2001-01-16,339300
2001-01-17,338275
2001-01-18,359400
2001-01-19,357575
2001-01-22,359575
2001-01-23,361675
2001-01-24,371675
2001-01-25,358150
2001-01-26,357775
2001-01-29,363350
2001-01-30,367800
2001-01-31,371800
2001-02-01,372575
2001-02-02,386600
2001-02-05,396700
2001-02-07,409925
2001-02-08,419275
2001-02-09,422575
2001-02-12,425675
2001-02-13,431400
2001-02-14,437950
2001-02-15,443300
2001-02-19,444500
2001-02-20,445225
2001-02-21,454800
2001-02-22,454450
2001-02-23,423775
2001-02-26,426900
2001-02-27,429850
2001-02-28,433250
2001-03-01,437375
2001-03-02,434325
2001-03-05,430975
2001-03-06,435125
2001-03-07,430550
2001-03-08,432250
2001-03-09,432500
2001-03-12,436250
2001-03-13,433775
2001-03-14,431975
2001-03-15,437200
2001-03-16,444075
2001-03-19,448075
2001-03-20,447775
2001-03-21,447075
2001-03-22,447200
2001-03-23,446375
2001-03-26,444575
2001-03-27,442525
2001-03-28,444400
2001-03-29,437125
2001-03-30,437425
2001-04-02,436700
2001-04-03,435925
2001-04-04,436675
2001-04-05,438900
2001-04-06,435325
2001-04-09,434700
2001-04-10,435450
2001-04-11,437950
2001-04-12,436900
2001-04-17,433600
2001-04-18,435275
2001-04-19,439025
2001-04-20,442525
2001-04-23,435675
2001-04-24,435350
2001-04-25,434825
2001-04-26,434625
2001-04-27,430250
2001-04-30,424275
2001-05-01,422125
2001-05-02,420300
2001-05-03,418950
2001-05-04,420225
2001-05-08,423400
2001-05-09,435525
2001-05-10,453775
2001-05-11,462000
2001-05-14,479850
2001-05-15,503325
2001-05-16,514250
2001-05-17,527600
2001-05-18,534200
2001-05-21,527100
2001-05-22,530775
2001-05-23,535325
2001-05-24,538750
2001-05-25,539325
2001-05-29,542100
2001-05-30,556425
2001-05-31,554425
2001-06-01,551275
2001-06-04,548500
2001-06-05,550850
2001-06-06,553575
2001-06-07,550650
2001-06-08,560050
2001-06-11,565950
2001-06-12,568475
2001-06-13,570100
2001-06-14,577350
2001-06-15,579050
2001-06-18,580675
2001-06-19,584075
2001-06-20,576025
2001-06-21,575000
2001-06-22,578075
2001-06-25,577700
2001-06-26,590250
2001-06-27,591950
2001-06-28,596825
2001-06-29,595075
2001-07-02,590300
2001-07-03,589250
2001-07-04,582400
2001-07-05,583800
2001-07-06,582875
2001-07-09,581200
2001-07-10,583200
2001-07-11,586125
2001-07-12,586075
2001-07-13,586375
2001-07-16,586275
2001-07-17,592775
2001-07-18,597125
2001-07-19,595075
2001-07-20,594350
2001-07-23,602725
2001-07-24,609150
2001-07-25,613200
2001-07-26,619125
2001-07-27,620150
2001-07-30,619275
2001-07-31,621275
2001-08-01,627450
2001-08-02,622625
2001-08-03,621700
2001-08-06,620575
2001-08-07,628425
2001-08-08,633375
2001-08-09,632500
2001-08-10,635700
2001-08-13,632775
2001-08-14,639175
2001-08-15,639125
2001-08-16,637925
2001-08-17,636700
2001-08-20,636675
2001-08-21,640450
2001-08-22,640000
2001-08-23,639650
2001-08-24,645325
2001-08-28,646175
2001-08-29,647000
2001-08-30,650450
2001-08-31,650600
2001-09-03,652675
2001-09-04,650300
2001-09-05,650050
2001-09-06,651975
2001-09-07,652300
2001-09-10,652150
2001-09-11,652450
2001-09-12,651550
2001-09-13,657575
2001-09-14,657925
2001-09-17,667450
2001-09-18,667000
2001-09-19,670000
2001-09-20,672900
2001-09-21,671875
2001-09-24,671600
2001-09-25,668275
2001-09-26,668600
2001-09-27,668900
2001-09-28,668900
2001-10-01,682300
2001-10-02,681650
2001-10-03,678100
2001-10-04,677975
2001-10-05,676600
2001-10-08,674025
2001-10-09,675425
2001-10-10,674350
2001-10-11,677000
2001-10-12,683150
2001-10-15,683975
2001-10-16,686100
2001-10-17,688150
2001-10-18,687250
2001-10-19,688050
2001-10-22,686625
2001-10-23,673050
2001-10-24,664925
2001-10-25,661825
2001-10-26,660300
2001-10-29,660050
2001-10-30,659575
2001-10-31,659300
2001-11-01,660525
2001-11-02,660800
2001-11-05,660700
2001-11-06,662075
2001-11-07,662025
2001-11-08,661850
2001-11-09,657600
2001-11-12,656850
2001-11-13,657725
2001-11-14,660775
2001-11-15,661725
2001-11-16,662350
2001-11-19,662925
2001-11-20,662800
2001-11-21,666275
2001-11-22,670525
2001-11-23,670500
2001-11-26,670275
2001-11-27,670000
2001-11-28,678025
2001-11-29,688625
2001-11-30,694975
2001-12-03,695750
2001-12-04,702650
2001-12-05,715750
2001-12-06,721650
2001-12-07,723350
2001-12-10,731425
2001-12-11,741350
2001-12-12,745375
2001-12-13,758825
2001-12-14,768250
2001-12-17,771775
2001-12-18,775475
2001-12-19,778900
2001-12-20,783075
2001-12-21,787625
2001-12-27,793750
2001-12-28,802500
2002-01-02,804650
2002-01-03,807050
2002-01-04,805525
2002-01-07,805500
2002-01-08,804500
2002-01-09,807425
2002-01-10,810925
2002-01-11,811875
2002-01-14,814275
2002-01-15,815875
2002-01-16,816100
2002-01-17,816975
2002-01-18,817625
2002-01-21,815625
2002-01-22,815375
2002-01-23,815375
2002-01-24,815650
2002-01-25,815400
2002-01-28,820900
2002-01-29,825150
2002-01-30,827800
2002-01-31,832250
2002-02-01,834900
2002-02-04,835650
2002-02-05,845875
2002-02-06,847925
2002-02-07,853825
2002-02-08,856600
2002-02-11,858075
2002-02-12,857400
2002-02-13,855600
2002-02-14,859000
2002-02-15,867375
2002-02-18,873050
2002-02-19,879150
2002-02-20,885850
2002-02-21,891875
2002-02-22,893675
2002-02-25,897200
2002-02-26,899750
2002-02-27,905125
2002-02-28,906725
2002-03-01,908950
2002-03-04,912500
2002-03-05,915525
2002-03-06,917075
2002-03-07,919925
2002-03-08,922900
2002-03-11,925275
2002-03-12,930850
2002-03-13,934200
2002-03-14,948500
2002-03-15,949125
2002-03-18,948325
2002-03-19,954725
2002-03-20,988500
2002-03-21,993750
2002-03-22,991900
2002-03-25,988750
2002-03-26,991175
2002-03-27,979150
2002-03-28,972150
2002-04-02,974325
2002-04-03,975725
2002-04-04,985750
2002-04-05,988300
2002-04-08,989200
2002-04-09,990700
2002-04-10,990450
2002-04-11,991525
2002-04-12,993050
2002-04-15,997225
2002-04-16,1007600
2002-04-17,1009250
2002-04-18,1012850
2002-04-19,1015425
2002-04-22,1017550
2002-04-23,1033625
2002-04-24,1046050
2002-04-25,1049725
2002-04-26,1053500
2002-04-29,1057675
2002-04-30,1067125
2002-05-01,1066425
2002-05-02,1071225
2002-05-03,1070875
2002-05-07,1071625
2002-05-08,1059600
2002-05-09,1070550
2002-05-10,1067950
2002-05-13,1067600
2002-05-14,1072975
2002-05-15,1073575
2002-05-16,1074525
2002-05-17,1091850
2002-05-20,1092000
2002-05-21,1093725
2002-05-22,1098300
2002-05-23,1095900
2002-05-24,1096425
2002-05-27,1098850
2002-05-28,1100000
2002-05-29,1100375
2002-05-30,1103500
2002-05-31,1102950
2002-06-05,1105150
2002-06-06,1113675
2002-06-07,1139700
2002-06-10,1142975
2002-06-11,1152625
2002-06-12,1162075
2002-06-13,1165375
2002-06-14,1167200
2002-06-17,1162700
2002-06-18,1159925
2002-06-19,1166225
2002-06-20,1167200
2002-06-21,1179875
2002-06-24,1182425
2002-06-25,1181125
2002-06-26,1181250
2002-06-27,1181725
2002-06-28,1196025
2002-07-01,1208525
2002-07-02,1210775
2002-07-03,1209125
2002-07-04,1205700
2002-07-05,1214025
2002-07-08,1199950
2002-07-09,1173525
2002-07-10,1177075
2002-07-11,1177525
2002-07-12,1177325
2002-07-15,1173950
2002-07-16,1178900
2002-07-17,1175350
2002-07-18,1174975
2002-07-19,1172900
2002-07-22,1175200
2002-07-23,1179075
2002-07-24,1181025
2002-07-25,1179225
2002-07-26,1186075
2002-07-29,1184550
2002-07-30,1181650
2002-07-31,1189250
2002-08-01,1210650
2002-08-02,1209425
2002-08-05,1209250
2002-08-06,1211300
2002-08-07,1212700
2002-08-08,1211600
2002-08-09,1210950
2002-08-12,1213000
2002-08-13,1206300
2002-08-14,1206800
2002-08-15,1205950
2002-08-16,1210175
2002-08-19,1210125
2002-08-20,1210625
2002-08-21,1209675
2002-08-22,1209175
2002-08-23,1208675
2002-08-27,1206200
2002-08-28,1201925
2002-08-29,1200675
2002-08-30,1208100
2002-09-02,1209825
2002-09-03,1211625
2002-09-04,1207825
2002-09-05,1205025
2002-09-06,1205725
2002-09-09,1206875
2002-09-10,1208400
2002-09-11,1207625
2002-09-12,1207575
2002-09-13,1206850
2002-09-16,1207700
2002-09-17,1207075
2002-09-18,1211250
2002-09-19,1206950
2002-09-20,1202650
2002-09-23,1202575
2002-09-24,1202200
2002-09-25,1201725
2002-09-26,1201575
2002-09-27,1200050
2002-09-30,1202125
2002-10-01,1201325
2002-10-02,1196350
2002-10-03,1195275
2002-10-04,1193150
2002-10-07,1186250
2002-10-08,1185350
2002-10-09,1186200
2002-10-10,1187700
2002-10-11,1190975
2002-10-14,1194725
2002-10-15,1195275
2002-10-16,1195000
2002-10-17,1195200
2002-10-18,1194050
2002-10-21,1192775
2002-10-22,1188075
2002-10-23,1185575
2002-10-24,1184375
2002-10-25,1185150
2002-10-28,1182300
2002-10-29,1180950
2002-10-30,1200350
2002-10-31,1197400
2002-11-01,1209425
2002-11-04,1211900
2002-11-05,1205975
2002-11-06,1203375
2002-11-07,1187400
2002-11-08,1180925
2002-11-11,1182450
2002-11-12,1177975
2002-11-13,1186025
2002-11-14,1184550
2002-11-15,1182400
2002-11-18,1177750
2002-11-19,1181175
2002-11-20,1178350
2002-11-21,1174550
2002-11-22,1174750
2002-11-25,1174475
2002-11-26,1173050
2002-11-27,1173050
2002-11-28,1168975
2002-11-29,1168750
2002-12-02,1168375
2002-12-03,1168575
2002-12-04,1154000
2002-12-05,1151800
2002-12-06,1150475
2002-12-09,1147475
2002-12-10,1130275
2002-12-11,1128650
2002-12-12,1129100
2002-12-13,1124100
2002-12-16,1128025
2002-12-17,1136050
2002-12-18,1139100
2002-12-19,1147400
2002-12-20,1144775
2002-12-23,1142100
2002-12-24,1145675
2002-12-30,1142875
2002-12-31,1145775
2003-01-02,1145675
2003-01-03,1146300
2003-01-06,1145800
2003-01-07,1142375
2003-01-08,1136950
2003-01-09,1132325
2003-01-10,1133850
2003-01-13,1131300
2003-01-14,1139600
2003-01-15,1136925
2003-01-16,1130325
2003-01-17,1127900
2003-01-20,1126850
2003-01-21,1120200
2003-01-22,1116600
2003-01-23,1115000
2003-01-24,1095925
2003-01-27,1096400
2003-01-28,1095775
2003-01-29,1095475
2003-01-30,1093125
2003-01-31,1091125
2003-02-03,1090525
2003-02-04,1087000
2003-02-05,1111700
2003-02-06,1109550
2003-02-07,1106375
2003-02-10,1105600
2003-02-11,1104250
2003-02-12,1100475
2003-02-13,1100925
2003-02-14,1105300
2003-02-17,1106700
2003-02-18,1106750
2003-02-19,1120175
2003-02-20,1160175
2003-02-21,1158825
2003-02-24,1158475
2003-02-25,1156100
2003-02-26,1148875
2003-02-27,1145800
2003-02-28,1148000
2003-03-03,1146525
2003-03-04,1131800
2003-03-05,1122075
2003-03-06,1112675
2003-03-07,1098450
2003-03-10,1106250
2003-03-11,1116725
2003-03-12,1121350
2003-03-13,1130275
2003-03-14,1132300
2003-03-17,1135050
2003-03-18,1156200
2003-03-19,1157375
